date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2023-10-06,6.414,320.7,7.0,1,4598.41,4681.15,0.0013948299520921362,False
2023-10-09,0.7639999999994543,38.19999999997272,1.3499999999994543,1,4659.32,4711.34,0.00016397242516063597,False
2023-10-10,19.35400000000051,967.7000000000255,19.94000000000051,1,4717.81,4734.52,0.00410232713907523,False
2023-10-11,0.0,0.0,0.0,0,4746.38,4753.12,0.0,False
2023-10-12,-10.062000000000328,-503.1000000000164,-8.890000000000327,2,4758.51,4722.93,-0.002114527446616762,False
2023-10-13,-29.74200000000062,-1487.100000000031,-28.57000000000062,2,4738.29,4698.4,-0.006276948012890857,False
2023-10-16,-0.3160000000004729,-15.800000000023646,0.26999999999952706,1,4722.39,4746.38,-6.691526959875675e-05,False
2023-10-17,0.0,0.0,0.0,0,4710.53,4746.38,0.0,False
2023-10-18,9.114000000000727,455.70000000003637,9.700000000000728,1,4725.09,4682.23,0.0019288521488481122,False
2023-10-19,5.298000000000255,264.90000000001277,6.470000000000255,2,4687.35,4637.49,0.0011302761688374572,False
2023-10-20,22.547999999999345,1127.3999999999671,23.719999999999345,2,4632.1,4580.35,0.004867770557630307,False
2023-10-23,-17.026000000000508,-851.3000000000254,-16.44000000000051,1,4561.75,4571.72,-0.0037323395626679473,False
2023-10-24,3.464000000000182,173.2000000000091,4.050000000000182,1,4594.63,4604.61,0.0007539236021181644,False
2023-10-25,16.617999999999963,830.8999999999982,17.789999999999964,2,4585.74,4539.11,0.0036238426077361482,False
2023-10-26,-7.912000000000691,-395.6000000000345,-6.740000000000691,2,4524.02,4481.43,-0.0017488870517815328,False
2023-10-27,-7.056000000000255,-352.80000000001274,-6.470000000000255,1,4498.68,4461.22,-0.0015684600816239997,False
2023-10-30,-21.606000000000435,-1080.3000000000218,-21.020000000000437,1,4491.14,4512.97,-0.004810805274384774,False
2023-10-31,-11.375999999999964,-568.7999999999982,-10.789999999999964,1,4518.9,4541.27,-0.002517426807408875,False
2023-11-01,-11.141999999999346,-557.0999999999673,-9.969999999999345,2,4551.24,4588.97,-0.0024481240277373522,False
