ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
META,META-063,2025-09-08T15:30:00-04:00,2025-09-09T10:30:00-04:00,2,752.19,759.78,16.3548,756.5094,752.8615,21.483,-25.938,-38.221,neutral,748.8279,0.3462,-0.767
META,META-064,2025-09-10T09:30:00-04:00,2025-09-11T12:30:00-04:00,10,755.6,753.02,16.0708,760.8126,757.6673,20.271,-33.346,-23.854,neutral,750.655,1.5215,2.1734
META,META-065,2025-09-12T12:30:00-04:00,2025-09-15T13:30:00-04:00,8,755.02,765.0,15.4668,752.6483,753.6504,-3.148,12.984,22.101,neutral,750.7583,-0.0008,1.6248
META,META-066,2025-09-17T14:30:00-04:00,2025-09-18T11:30:00-04:00,4,779.1493,784.455,15.879,773.3492,769.1017,39.13,12.952,-2.438,neutral_up,754.8629,2.4127,4.1046
META,META-067,2025-09-19T09:30:00-04:00,2025-09-22T14:30:00-04:00,12,779.39,768.06,15.9192,780.5386,776.5171,22.875,-8.291,-21.594,neutral,758.8929,2.1557,6.4427
META,META-068,2025-09-29T15:30:00-04:00,2025-09-30T10:30:00-04:00,2,743.4,732.61,16.1504,744.4623,747.3257,-28.833,1.405,-5.502,neutral_down,758.075,-1.4225,-2.4779
META,META-069,2025-10-03T14:30:00-04:00,2025-10-06T09:30:00-04:00,2,714.105,700.9336,16.0757,718.1669,722.296,-50.389,-1.988,-20.595,neutral_down,749.1063,-2.2046,-7.6346
META,META-070,2025-10-07T15:30:00-04:00,2025-10-08T14:30:00-04:00,6,712.92,719.09,17.1257,710.5198,712.8852,-12.546,12.757,14.268,neutral,742.8858,-2.7026,-8.4251
META,META-071,2025-10-09T09:30:00-04:00,2025-10-09T11:30:00-04:00,2,718.975,726.5601,16.4579,716.6499,715.3796,22.587,0.552,2.531,neutral,738.1315,-2.0302,-7.4569
META,META-072,2025-10-14T15:30:00-04:00,2025-10-20T10:30:00-04:00,23,708.77,729.93,17.5514,711.8445,713.6974,-22.084,-6.981,-12.381,neutral,733.0226,-1.7542,-5.109
META,META-073,2025-10-22T13:30:00-04:00,2025-10-27T09:30:00-04:00,17,728.9277,753.2778,16.6861,730.1687,728.3855,4.018,-0.448,-18.656,neutral,728.0151,0.5234,-0.02
META,META-074,2025-10-29T12:30:00-04:00,2025-10-30T09:30:00-04:00,4,749.57,661.51,15.6148,750.6149,748.2941,11.447,-3.173,-14.47,neutral,733.5599,1.781,4.564
META,META-075,2025-11-06T09:30:00-05:00,2025-11-06T10:30:00-05:00,1,625.06,622.16,21.5051,634.653,641.2787,-53.759,-23.301,-25.152,neutral_down,699.7577,-6.3758,-21.8636
